REVIEWID,HOTELID,SERVICE,PRICE,ROOM,LOCATION,OVERALL
27,828,4,5,5,5,4
28,828,5,5,5,5,5
29,828,3,3,3,4,3
30,828,4,3,3,3,3
31,828,5,5,5,5,5
32,828,5,4,4,4,4
33,828,5,4,5,5,4
34,828,3,2,4,4,3
35,828,5,5,5,5,5
36,828,5,5,5,5,5
37,828,5,3,4,3,3
38,828,1,1,1,2,1
39,828,5,5,5,5,5
40,828,5,4,5,5,4
41,828,5,3,4,4,4
42,828,4,3,5,5,4
43,828,2,3,3,3,3
44,828,5,5,5,5,5
45,828,5,5,5,5,5
46,828,1,4,3,4,3
47,828,5,5,5,5,5
48,828,1,1,1,1,1
49,828,1,2,1,1,1
50,828,5,5,5,5,5
51,828,4,4,5,5,4
52,828,3,3,3,5,3
53,828,5,4,5,5,4
54,828,4,4,4,5,4
55,828,5,3,5,5,4
56,828,5,5,5,5,5
57,828,4,4,5,5,4
58,828,3,5,3,4,3
59,828,5,4,4,5,4
60,828,5,5,5,4,4
61,828,3,3,2,3,3
62,828,5,4,5,5,5
63,828,4,5,5,5,4
64,828,3,3,3,5,3
65,828,3,2,2,2,2
66,828,2,2,2,1,2
67,828,4,4,4,5,4
68,828,5,5,5,5,4
69,828,5,4,5,5,5
70,828,5,5,5,5,5
71,828,2,1,2,1,1
72,828,5,4,4,5,4
73,828,5,4,5,5,5
74,828,1,1,1,3,1
75,828,1,2,1,2,1
76,828,2,3,2,2,2
77,828,3,4,3,5,3
78,828,5,5,5,5,5
79,828,4,4,4,4,4
80,828,5,5,5,5,5
81,828,5,4,5,5,4
82,828,4,4,4,5,4
83,828,2,2,2,2,2
84,828,3,2,3,4,2
85,828,5,5,5,5,5
86,828,5,5,5,5,5
87,828,1,1,1,1,1
88,828,2,3,3,4,3
89,828,5,4,5,4,4
90,828,2,2,2,1,2
91,828,5,4,4,5,4
92,828,4,4,5,5,4
93,828,5,5,5,5,5
94,828,3,3,3,3,3
95,828,3,3,3,5,3
96,828,5,5,5,5,5
97,828,4,4,5,5,4
98,828,5,5,5,5,5
99,828,5,5,5,5,4
100,828,4,4,5,4,4
101,828,3,3,3,3,3
102,828,5,5,4,4,3
103,828,4,4,4,4,3
104,828,5,5,5,5,5
105,828,4,5,5,5,4
106,828,1,1,1,1,1
107,828,5,4,5,5,4
108,828,4,4,4,4,4
109,828,4,4,3,5,4
110,828,4,5,4,5,4
111,828,2,3,3,5,3
112,828,3,2,4,4,3
113,828,5,4,5,5,5
114,828,5,4,5,4,4
115,828,5,5,5,5,5
116,828,4,3,3,3,3
117,828,2,2,3,3,2
118,828,3,4,1,4,2
119,828,5,4,5,5,4
120,828,5,4,5,5,5
121,828,5,5,5,5,5
122,828,5,5,5,5,5
123,828,1,1,1,1,1
124,828,5,4,5,4,4
125,828,4,3,5,4,4
126,828,5,5,5,5,4
127,828,2,2,2,1,2
128,828,4,4,5,5,4
129,828,3,4,3,4,3
130,828,5,5,5,5,5
131,828,4,5,5,5,4
132,828,4,5,5,5,4
133,828,4,3,4,5,3
134,828,4,5,5,5,4
135,828,3,4,4,3,3
136,828,4,4,5,5,4
137,828,3,5,4,3,3
138,828,5,5,5,5,5
139,828,1,1,2,1,1
140,828,4,3,4,4,3
141,828,3,3,2,3,2
142,828,5,5,5,5,4
143,828,4,5,5,4,4
144,828,4,5,5,5,4
145,828,3,3,3,3,3
146,828,4,4,4,5,4
147,828,1,2,1,1,1
148,828,1,1,1,1,1
149,828,5,5,5,5,5
150,828,4,4,5,5,4
151,828,4,5,4,5,4
152,828,5,5,5,5,5
153,828,4,4,5,5,4
154,828,3,3,3,5,3
155,828,5,5,5,3,5
156,828,5,4,5,5,4
157,828,2,3,2,2,2
158,828,2,2,3,3,2
159,828,5,5,5,5,5
160,828,5,5,5,5,5
161,828,5,5,5,4,4
162,828,4,4,5,4,4
163,828,5,5,5,5,5
164,828,5,4,5,5,4
165,828,4,4,4,5,4
166,828,5,5,5,5,5
167,828,2,4,3,3,3
168,828,5,4,5,4,4
169,828,4,4,4,5,4
170,828,5,5,5,5,5
171,828,4,5,4,5,4
172,828,2,3,3,4,2
173,828,1,1,1,1,1
174,828,4,4,4,4,3
175,828,1,1,2,1,1
176,828,2,2,3,4,2
177,828,5,5,5,5,5
178,828,3,3,4,5,3
179,828,5,4,5,5,4
180,828,5,5,4,5,4
181,828,5,4,5,5,5
182,828,3,4,5,4,4
183,828,4,5,4,5,4
184,828,4,4,5,5,4
185,828,4,5,5,5,5
186,828,5,5,5,5,5
187,828,1,1,1,1,1
188,828,4,4,5,5,4
189,828,5,4,5,4,4
190,828,5,5,5,5,5
191,828,5,5,5,5,5
192,828,5,4,5,4,4
193,828,5,5,5,4,5
194,828,2,2,2,2,2
195,828,4,4,4,5,4
196,828,5,4,4,4,4
197,828,5,4,5,4,4
198,828,5,5,5,5,4
199,828,5,5,4,5,4
200,828,4,4,4,2,3
201,828,4,5,5,5,4
202,828,2,2,1,3,2
203,828,4,4,4,5,4
204,828,5,5,5,5,5
205,828,4,3,5,5,4
206,828,4,3,5,5,4
207,828,5,4,5,5,4
208,828,4,4,5,4,4
209,828,3,3,3,4,3
210,828,4,3,4,4,3
211,828,4,4,4,4,4
212,828,3,5,3,3,3
213,828,4,4,5,4,4
214,828,2,1,2,1,1
215,828,5,4,5,4,4
216,828,1,1,1,1,1
217,828,5,5,5,5,5
218,828,3,3,4,4,3
219,828,4,4,5,5,4
220,828,2,1,2,2,2
221,828,3,3,3,5,3
222,828,5,5,4,4,4
223,828,3,4,3,5,3
224,828,1,1,1,1,1
225,828,3,3,4,3,3
226,828,4,4,4,5,4
227,828,4,3,4,3,3
228,828,5,5,5,5,5
229,828,5,5,5,5,5
230,828,3,5,5,5,4
231,828,1,1,1,1,1
232,828,3,3,3,4,2
233,828,1,1,1,1,1
234,828,3,4,2,2,2
235,828,5,5,5,5,5
236,828,4,4,4,5,4
237,828,5,5,5,5,5
238,828,5,5,5,5,5
239,828,2,2,1,4,2
240,828,5,5,4,5,4
241,828,4,5,5,5,4
242,828,5,5,5,5,4
243,828,4,5,4,4,4
244,828,5,5,5,5,5
245,828,5,4,4,5,4
246,828,5,5,5,5,5
247,828,2,3,3,5,3
248,828,4,4,4,4,4
249,828,4,3,5,5,3
250,828,4,5,5,5,4
251,828,4,4,5,5,4
252,828,5,5,5,5,5
253,828,4,4,5,5,4
254,828,5,5,5,5,5
255,828,5,5,5,5,5
256,828,5,4,5,5,5
257,828,3,3,3,4,3
258,828,2,3,3,1,2
259,828,1,1,1,2,1
260,828,1,2,2,2,2
261,828,5,5,5,5,5
262,828,5,5,5,5,5
263,828,1,2,2,2,2
264,828,4,5,5,5,5
265,828,5,5,5,5,4
266,828,5,5,5,5,5
267,828,5,4,5,5,5
268,828,5,5,5,4,5
269,828,3,3,4,4,3
270,828,5,4,5,5,5
271,828,4,4,5,4,4
272,828,3,3,4,4,2
273,828,4,5,5,5,4
274,828,5,3,5,4,4
275,828,4,5,5,4,4
276,828,5,5,5,5,4
277,828,5,5,4,4,4
278,828,4,4,5,5,4
279,828,4,3,4,3,3
280,828,5,5,5,5,5
281,828,2,3,3,1,2
282,828,5,4,5,5,4
283,828,2,2,3,3,2
284,828,3,2,4,5,3
285,828,4,3,5,5,4
286,828,1,3,3,2,2
287,828,5,4,5,4,4
288,828,4,4,5,3,4
289,828,4,4,5,4,4
290,828,4,4,5,5,4
291,828,4,4,4,4,3
292,828,5,5,5,5,5
293,828,5,5,5,5,4
294,828,4,5,4,4,4
295,828,5,3,5,3,4
296,828,3,5,3,3,3
297,828,5,5,5,4,5
298,828,5,5,5,4,4
299,828,4,5,4,4,4
300,828,4,3,4,4,3
301,828,5,5,5,5,4
302,828,2,2,3,4,2
303,828,5,5,5,5,5
304,828,4,3,5,5,4
305,828,4,4,5,4,4
306,828,5,5,5,5,4
307,828,2,2,2,2,2
308,828,1,1,1,1,1
309,828,5,5,5,5,5
310,828,5,5,5,5,5
311,828,4,3,5,5,4
312,828,2,2,2,1,2
313,828,3,4,4,4,3
314,828,4,5,4,4,4
315,828,5,5,5,5,5
316,828,1,1,1,1,1
317,828,5,5,5,5,4
318,828,5,5,3,5,4
319,828,4,5,5,5,4
320,828,3,3,3,3,2
321,828,5,5,5,5,5
322,828,5,5,5,5,5
323,828,5,5,5,5,5
324,828,4,4,5,5,4
325,828,5,4,5,5,4
326,828,5,5,5,5,5
327,828,5,5,5,5,5
328,828,5,5,5,5,5
329,828,4,5,5,5,4
330,828,2,1,3,3,2
331,828,5,5,5,5,5
332,828,4,5,5,5,4
333,828,4,4,5,5,4
334,828,4,4,5,4,4
335,828,5,5,5,4,5
336,828,5,5,5,5,5
337,828,5,5,5,5,5
338,828,5,5,5,5,4
339,828,3,4,4,3,3
340,828,4,4,5,5,4
341,828,3,1,3,3,3
342,828,5,5,5,5,5
343,828,3,2,3,5,3
344,828,5,5,5,5,5
345,828,5,5,5,5,5
346,828,5,5,5,5,5
347,828,2,2,2,3,3
348,828,4,4,5,5,4
349,828,4,4,5,5,4
350,828,4,4,4,5,4
351,828,5,4,5,5,4
352,828,4,3,3,4,3
353,828,5,5,5,5,4
354,828,1,1,2,2,2
355,828,1,1,2,1,1
356,828,5,5,5,5,5
357,828,5,5,5,5,5
358,828,3,3,3,5,3
359,828,2,2,4,4,3
360,828,1,2,2,2,2
361,828,5,5,4,5,4
362,828,5,5,4,5,4
363,828,4,5,4,5,4
364,828,5,4,5,5,4
365,828,5,5,5,5,5
366,828,4,4,4,5,4
367,828,5,5,5,5,5
368,828,4,4,5,5,4
369,828,4,4,4,5,4
370,828,4,4,5,5,4
371,828,5,5,5,5,5
372,828,5,5,5,5,5
373,828,5,5,5,5,4
374,828,4,5,5,5,4
375,828,5,3,5,5,4
376,828,5,4,5,5,5
377,828,2,3,2,3,2
378,828,5,5,5,5,5
379,828,5,5,5,5,5
380,828,4,4,5,4,4
381,828,1,1,1,1,1
382,828,4,3,3,3,3
383,828,4,5,5,4,4
384,828,4,3,4,4,4
385,828,3,3,3,3,3
386,828,4,4,4,5,4
387,828,5,5,5,5,5
388,828,5,5,5,5,5
389,828,4,5,5,5,4
390,828,4,4,4,4,4
391,828,1,3,2,2,2
392,828,5,5,5,5,4
393,828,5,3,5,5,4
394,828,5,5,5,5,5
395,828,5,5,5,5,5
396,828,4,5,5,5,5
397,828,4,5,5,5,4
398,828,5,5,5,5,5
399,828,4,4,4,5,4
400,828,5,4,5,5,5
401,828,5,5,5,5,5
402,828,5,5,5,2,4
403,828,5,5,5,5,5
404,828,5,4,5,4,4
405,828,5,4,4,3,4
406,828,5,4,5,5,4
407,828,5,3,4,4,4
408,828,4,4,5,5,4
409,828,5,5,5,5,5
410,828,5,5,5,5,5
411,828,3,2,4,5,3
412,828,4,5,4,4,4
413,828,5,4,4,5,3
414,828,2,3,3,3,3
415,828,4,5,5,5,4
416,828,4,4,5,5,4
417,828,3,2,1,2,2
418,828,5,5,5,5,5
419,828,5,5,5,5,5
420,828,5,5,5,4,4
421,828,5,5,5,5,5
422,828,4,5,4,4,4
423,828,2,4,4,3,3
424,828,5,5,4,5,4
425,828,5,5,5,5,5
426,828,5,5,5,5,5
427,828,4,5,5,4,4
428,828,5,5,5,5,4
429,828,5,3,5,5,4
430,828,4,4,4,3,4
431,828,2,1,4,3,2
432,828,5,5,5,5,5
433,828,5,5,5,4,4
434,828,2,2,2,3,2
435,828,5,5,5,5,5
436,828,5,5,5,5,5
437,828,5,5,5,5,5
438,828,5,5,5,5,5
439,828,3,3,3,4,3
440,828,4,4,5,5,4
441,828,5,5,5,5,5
442,828,5,5,5,5,5
443,828,4,4,5,5,4
444,828,5,4,5,5,4
445,828,5,5,5,5,5
446,828,5,5,5,5,5
447,828,5,5,5,5,5
448,828,4,4,4,4,4
449,828,5,5,5,5,5
450,828,4,4,5,5,4
451,828,5,5,5,5,5
452,828,5,4,5,5,5
453,828,5,5,5,5,5
454,828,5,4,5,4,4
455,828,5,5,5,5,5
456,828,4,4,5,5,4
457,828,2,2,2,3,2
458,828,5,5,5,4,5
459,828,5,5,5,5,5
460,828,4,4,5,5,4
461,828,5,5,5,5,5
462,828,5,5,5,5,5
463,828,4,4,4,4,4
464,828,3,3,3,3,3
465,828,5,5,5,5,5
466,828,5,5,5,5,5
467,828,4,4,5,5,4
468,828,5,5,5,5,5
469,828,5,5,5,5,5
470,828,4,3,3,4,3
471,828,4,4,5,5,4
472,828,5,4,4,4,4
473,828,4,5,4,5,4
474,828,4,4,4,5,4
475,828,4,4,5,4,4
476,828,4,5,5,4,4
477,828,4,4,4,5,4
478,828,5,5,5,5,5
479,828,4,4,5,4,4
480,828,5,5,5,5,5
481,828,5,4,4,4,4
482,828,4,4,4,4,4
483,828,4,3,3,3,3
484,828,4,4,5,4,4
485,828,1,1,1,1,1
486,828,5,5,5,5,5
487,828,5,5,5,5,5
488,828,5,5,5,5,5
489,828,5,5,5,5,5
490,828,5,5,5,5,5
491,828,5,5,5,5,5
492,828,5,5,5,5,5
493,828,1,1,1,1,1
494,828,5,5,5,5,5
495,828,5,5,5,5,5
496,828,5,5,5,5,5
497,828,5,5,5,5,5
498,828,1,1,1,1,1
499,828,5,5,5,5,5
500,828,1,1,1,1,1
501,828,1,1,1,1,1
502,828,1,1,1,1,1
503,828,1,1,1,1,1
504,828,4,4,4,4,4
505,828,1,1,1,1,1
506,828,1,1,1,1,1
507,828,1,1,1,1,1
508,828,5,5,5,5,5
509,828,5,5,5,5,5
510,828,1,1,1,1,1
511,828,1,1,1,1,1
512,828,5,5,5,5,5
513,828,1,1,1,1,1
514,828,5,5,5,5,5
1,829,2,2,2,2,2
2,829,2,3,3,4,3
3,829,2,3,3,3,2
4,829,5,5,5,5,4
5,829,2,2,2,3,2
6,829,5,5,5,5,5
7,829,5,5,5,5,5
8,829,4,4,5,4,4
9,829,5,4,5,4,4
10,829,5,5,5,4,5
11,829,5,5,5,5,5
12,829,3,3,3,4,3
13,829,5,5,4,4,4
14,829,2,3,2,2,2
15,829,4,5,5,4,4
16,829,2,4,2,1,2
17,829,3,3,2,3,2
1,832,5,5,5,4,4
2,832,5,4,4,4,4
3,832,4,3,3,4,3
4,832,5,5,5,5,5
5,832,3,3,4,3,3
6,832,1,1,1,1,1
7,832,5,4,4,5,4
8,832,5,5,5,4,4
9,832,5,5,5,5,5
10,832,2,2,2,2,2
11,832,3,3,3,5,3
12,832,2,2,3,2,2
13,832,4,5,4,5,4
14,832,5,4,3,3,3
15,832,2,3,3,4,2
16,832,3,2,4,5,3
17,832,4,5,4,4,4
18,832,4,4,5,5,4
19,832,4,4,5,5,4
20,832,4,4,5,5,4
21,832,2,2,3,3,2
22,832,4,3,3,4,3
23,832,1,1,2,3,1
24,832,4,5,5,5,4
25,832,4,4,5,5,4
26,832,3,4,3,3,3
27,832,5,5,5,5,5
28,832,4,4,5,4,4
29,832,5,5,5,5,5
30,832,5,4,4,4,4
31,832,1,2,1,1,1
32,832,2,1,1,1,1
33,832,1,1,1,1,1
34,832,5,5,5,5,4
35,832,4,4,4,5,4
36,832,2,1,1,2,1
37,832,5,3,4,4,3
38,832,5,5,5,5,5
39,832,1,1,2,3,1
40,832,1,1,1,1,1
41,832,5,5,5,5,5
42,832,4,4,5,4,4
43,832,5,4,5,5,4
44,832,5,3,5,4,4
45,832,4,4,5,5,4
46,832,5,5,5,4,4
47,832,5,3,3,4,3
48,832,4,3,5,5,4
49,832,3,2,5,4,3
50,832,3,1,2,1,2
51,832,3,3,3,4,3
52,832,5,4,5,5,4
53,832,4,4,5,5,4
54,832,5,4,5,5,5
55,832,4,3,4,5,3
56,832,3,5,4,5,4
57,832,5,4,4,5,4
58,832,5,5,5,5,5
59,832,4,3,4,4,4
60,832,3,2,4,3,2
61,832,1,2,2,3,2
62,832,4,3,4,3,3
63,832,5,5,5,5,5
64,832,1,1,2,1,1
65,832,3,3,1,3,3
66,832,2,2,2,3,2
67,832,5,5,5,5,5
68,832,5,5,4,4,4
69,832,5,3,4,1,3
70,832,5,5,5,5,5
71,832,4,4,3,3,4
72,832,4,4,5,5,4
73,832,4,4,4,4,4
74,832,4,4,5,2,3
75,832,4,4,4,5,4
76,832,4,4,5,4,4
77,832,2,2,1,2,2
78,832,5,5,4,5,4
79,832,5,4,5,5,4
80,832,5,4,5,5,4
81,832,5,5,5,5,5
82,832,3,3,4,3,3
83,832,2,3,3,2,2
84,832,1,1,1,1,1
85,832,4,3,4,5,3
86,832,4,2,3,2,2
87,832,3,3,3,3,3
88,832,1,2,3,2,2
89,832,2,3,3,5,3
90,832,5,5,5,3,4
91,832,5,5,5,5,5
92,832,4,2,4,4,3
93,832,2,5,3,4,3
94,832,5,4,4,4,4
95,832,5,4,5,5,4
96,832,2,2,3,3,2
97,832,5,3,3,3,3
98,832,3,3,2,3,2
99,832,2,4,2,3,2
100,832,5,4,5,5,4
101,832,4,4,5,4,4
102,832,4,4,3,2,2
103,832,5,5,5,5,5
104,832,5,5,5,4,4
105,832,4,4,5,5,4
106,832,4,2,4,4,3
107,832,5,4,5,4,4
108,832,5,5,5,5,5
109,832,3,2,4,3,3
110,832,4,4,5,4,4
111,832,4,5,4,5,4
112,832,5,5,5,5,4
113,832,5,5,5,4,4
114,832,5,5,5,5,5
115,832,4,3,4,3,3
116,832,5,5,5,5,5
117,832,5,4,5,5,4
118,832,4,5,5,5,4
119,832,4,5,4,4,3
120,832,5,4,5,5,4
121,832,5,4,5,5,5
122,832,5,5,5,5,5
123,832,3,4,3,3,2
124,832,3,3,3,4,3
125,832,1,1,2,3,1
126,832,5,4,4,5,4
127,832,3,3,3,5,3
128,832,5,5,5,5,5
129,832,5,3,5,5,4
130,832,4,3,5,5,4
131,832,4,4,4,5,3
132,832,4,5,4,4,4
133,832,5,5,5,5,5
134,832,4,3,4,1,3
135,832,5,3,4,4,3
136,832,5,5,5,5,5
137,832,1,2,1,3,1
138,832,5,3,3,4,3
139,832,5,5,5,4,4
140,832,4,4,4,5,4
141,832,3,2,2,2,2
142,832,5,5,5,5,4
143,832,5,5,5,5,5
144,832,5,4,5,5,4
145,832,4,3,4,5,3
146,832,5,5,5,4,4
147,832,5,3,5,5,4
148,832,5,5,5,5,5
149,832,5,5,5,5,5
150,832,4,4,4,5,4
151,832,4,4,3,5,3
152,832,5,3,5,4,3
153,832,5,4,5,5,4
154,832,5,5,4,5,4
155,832,5,5,5,5,5
156,832,5,4,5,5,4
157,832,2,2,2,2,2
158,832,5,5,5,5,5
159,832,5,5,5,5,5
160,832,5,4,5,4,4
161,832,4,3,4,3,3
162,832,5,4,5,4,4
163,832,4,4,4,5,4
164,832,3,3,5,3,3
165,832,4,5,4,4,4
166,832,5,5,5,5,5
167,832,5,5,5,5,5
168,832,4,5,5,5,4
169,832,5,5,5,4,5
170,832,5,5,5,5,5
171,832,3,4,4,1,3
172,832,4,4,5,5,4
173,832,5,5,4,4,4
174,832,5,5,5,4,4
175,832,5,4,5,5,4
176,832,5,5,5,5,5
177,832,4,3,5,5,3
178,832,5,5,5,5,5
179,832,4,1,3,4,2
180,832,5,5,5,5,5
181,832,5,5,5,5,5
182,832,3,3,3,3,3
183,832,4,5,5,3,4
184,832,5,4,4,4,4
185,832,5,4,5,5,4
186,832,5,5,5,5,5
187,832,5,5,5,5,5
188,832,3,3,3,4,3
189,832,5,4,5,5,5
190,832,4,4,5,5,4
191,832,5,5,5,5,5
192,832,5,5,5,5,5
193,832,4,3,4,4,4
194,832,1,1,1,1,1
195,832,1,2,1,1,1
196,832,5,5,5,5,5
197,832,5,5,5,5,5
198,832,5,5,5,5,5
199,832,5,5,5,5,5
200,832,5,5,5,5,5
201,832,5,5,5,5,5
202,832,5,5,5,5,5
203,832,5,5,5,5,5
204,832,5,5,5,5,5
205,832,5,5,5,5,5
206,832,5,5,5,5,5
207,832,5,5,5,5,5
208,832,5,5,5,5,5
209,832,4,4,4,4,4
1,837,5,5,4,4,4
2,837,3,2,2,3,2
3,837,4,4,2,2,2
4,837,4,5,5,5,4
5,837,4,5,5,5,4
6,837,3,4,2,4,3
7,837,4,4,4,5,4
8,837,1,1,1,1,1
9,837,5,3,4,4,3
10,837,4,2,2,2,2
11,837,1,3,3,1,1
12,837,1,2,1,2,1
13,837,4,5,5,4,4
14,837,1,2,2,1,1
15,837,1,3,1,3,1
16,837,5,5,4,5,4
17,837,1,1,1,1,1
18,837,1,2,1,2,1
19,837,4,5,4,4,4
20,837,1,1,1,1,1
21,837,1,2,1,1,1
22,837,1,2,1,1,1
23,837,2,3,3,2,2
24,837,1,2,1,1,1
25,837,1,1,2,2,1
26,837,5,5,5,5,5
27,837,5,5,5,5,5
28,837,4,5,4,4,4
29,837,1,1,1,1,1
30,837,1,2,1,2,1
31,837,4,5,5,5,4
32,837,1,1,2,2,1
33,837,1,1,1,1,1
34,837,1,1,1,1,1
35,837,1,1,1,2,1
36,837,4,4,4,4,4
37,837,5,5,5,5,5
38,837,1,1,1,1,1
39,837,1,1,1,1,1
40,837,1,1,1,1,1
41,837,1,1,1,1,1
42,837,1,1,1,1,1
43,837,5,5,5,5,5
44,837,5,5,5,5,5
45,837,2,2,2,2,2
46,837,1,1,1,1,1
47,837,3,3,3,3,3
48,837,1,1,1,1,1
49,837,3,3,3,3,3
50,837,1,1,1,1,1
51,837,4,4,4,4,4
52,837,1,1,1,1,1
1,838,4,3,4,4,4
2,838,5,5,5,5,5
3,838,5,4,4,5,4
4,838,5,5,5,5,5
5,838,5,5,5,5,5
1,841,3,2,2,2,2
2,841,5,5,5,5,4
3,841,5,4,5,4,4
4,841,5,5,5,5,5
5,841,4,4,3,4,3
6,841,5,5,5,5,5
7,841,5,5,5,5,5
8,841,4,4,4,4,4
9,841,5,5,5,5,5
10,841,5,5,5,5,5
11,841,5,5,5,5,4
12,841,5,5,5,5,5
13,841,5,5,5,5,5
14,841,5,5,5,5,5
15,841,5,5,5,5,5
16,841,5,4,4,4,4
17,841,3,3,3,5,3
18,841,4,5,4,5,4
19,841,5,5,5,5,5
20,841,4,4,5,5,4
21,841,5,4,5,5,4
22,841,5,5,5,5,5
23,841,4,5,4,5,4
24,841,5,5,5,5,5
25,841,5,5,5,5,4
26,841,5,5,5,5,5
27,841,5,5,5,5,5
28,841,5,4,5,4,4
29,841,5,5,5,5,5
30,841,5,5,5,5,5
31,841,5,5,5,5,5
32,841,4,4,5,4,4
33,841,4,4,4,3,4
34,841,4,1,2,1,2
35,841,1,1,1,1,1
36,841,5,5,5,5,5
37,841,5,5,5,4,4
38,841,5,4,5,5,4
39,841,4,5,5,4,4
40,841,5,4,5,5,4
41,841,5,5,5,5,5
42,841,2,1,2,1,1
43,841,5,5,5,5,5
44,841,5,5,5,5,5
45,841,4,3,5,5,4
46,841,5,5,5,5,5
47,841,5,5,5,5,4
48,841,5,5,5,5,5
49,841,5,5,5,4,5
50,841,5,5,5,5,5
51,841,5,5,4,4,4
52,841,4,4,3,5,4
53,841,5,5,5,5,5
54,841,5,5,5,5,5
1,844,5,5,4,4,4
2,844,4,5,5,5,4
3,844,1,1,1,1,1
4,844,5,5,4,4,4
5,844,5,5,5,5,5
6,844,3,3,4,2,3
7,844,3,1,3,2,2
8,844,1,2,3,3,2
9,844,5,5,5,5,5
10,844,2,3,3,2,2
11,844,4,3,4,4,3
12,844,1,1,1,1,1
13,844,1,1,1,1,1
14,844,3,3,3,3,2
15,844,4,4,4,5,4
16,844,3,2,3,1,1
17,844,3,2,3,1,2
18,844,1,1,2,1,1
19,844,3,2,2,3,2
20,844,3,2,2,2,2
21,844,4,3,4,4,3
22,844,3,2,2,2,2
23,844,4,3,4,4,3
24,844,1,1,2,1,1
25,844,5,5,5,5,5
26,844,1,2,1,1,1
27,844,5,4,5,5,4
28,844,4,3,1,4,3
29,844,1,1,1,2,1
30,844,1,1,1,1,1
31,844,5,5,5,5,4
32,844,3,5,3,4,3
33,844,4,3,5,4,3
34,844,4,4,5,5,4
35,844,4,5,5,4,4
36,844,5,5,5,4,4
37,844,2,1,1,1,1
38,844,5,4,5,5,4
39,844,5,5,5,5,5
40,844,5,5,5,5,5
41,844,5,4,5,5,4
42,844,2,3,2,3,2
43,844,5,5,4,4,4
44,844,5,5,5,4,4
45,844,5,5,5,4,4
46,844,3,2,3,4,2
47,844,5,5,5,5,5
48,844,3,3,5,3,3
49,844,5,5,5,5,5
50,844,1,1,1,1,1
51,844,1,1,1,1,1
52,844,5,5,5,5,5
53,844,5,5,5,5,5
54,844,5,5,5,5,5
55,844,3,3,3,3,3
56,844,1,1,1,1,1
57,844,4,4,4,4,4
58,844,3,3,3,3,3
59,844,4,4,4,4,4
60,844,4,4,4,4,4
1,859,3,3,3,4,3
2,859,2,2,3,4,2
3,859,1,1,1,1,1
4,859,5,5,5,4,5
5,859,1,1,1,1,1
6,859,3,2,4,3,3
7,859,1,1,1,2,1
8,859,1,1,1,1,1
9,859,2,3,3,2,2
10,859,2,3,2,1,2
11,859,1,2,1,1,1
12,859,1,1,1,1,1
13,859,1,1,1,1,1
14,859,5,4,4,5,4
15,859,1,1,1,1,1
16,859,5,4,4,4,4
17,859,1,1,2,1,1
18,859,1,1,1,2,1
19,859,1,1,1,1,1
20,859,2,2,2,2,2
21,859,1,1,1,1,1
22,859,1,1,1,1,1
23,859,2,2,3,2,2
24,859,3,3,2,4,3
25,859,1,2,1,1,1
26,859,3,3,2,2,2
27,859,1,1,1,1,1
28,859,1,1,1,2,1
29,859,2,2,3,3,2
30,859,1,1,1,2,1
31,859,1,2,1,1,1
32,859,4,3,2,3,2
33,859,3,3,3,2,2
34,859,1,1,1,1,1
35,859,1,1,2,2,1
36,859,5,5,5,4,4
37,859,4,4,4,5,4
38,859,5,5,5,5,5
39,859,1,1,1,1,1
1,862,3,4,3,3,3
2,862,3,3,4,3,3
3,862,1,1,2,2,1
4,862,1,1,1,1,1
5,862,1,1,1,1,1
6,862,2,2,2,2,2
7,862,2,2,3,2,2
8,862,2,2,1,2,2
9,862,2,3,2,2,2
10,862,4,4,4,4,3
11,862,1,1,2,2,1
12,862,3,3,3,3,3
13,862,1,1,1,1,1
14,862,1,1,1,1,1
15,862,1,1,1,1,1
16,862,1,2,1,1,1
17,862,1,1,1,2,1
18,862,1,1,1,2,1
19,862,3,5,3,4,3
20,862,1,1,1,1,1
21,862,2,2,2,3,2
22,862,1,1,2,1,1
23,862,2,2,2,2,2
24,862,1,1,1,2,1
25,862,1,1,1,1,1
26,862,4,4,4,3,4
27,862,1,1,1,1,1
28,862,1,2,2,1,1
29,862,5,5,5,5,5
30,862,1,1,1,2,1
31,862,1,2,1,1,1
32,862,1,2,1,1,1
33,862,3,4,4,4,3
34,862,1,1,2,1,1
35,862,3,1,1,2,2
36,862,1,1,1,1,1
37,862,1,1,1,1,1
38,862,1,1,1,1,1
39,862,1,1,1,1,1
40,862,5,4,5,4,4
41,862,1,1,1,1,1
42,862,1,1,1,1,1
43,862,1,1,1,1,1
44,862,5,5,5,5,5
45,862,5,5,5,5,5
46,862,1,1,1,1,1
47,862,1,1,1,1,1
48,862,1,1,1,1,1
49,862,3,3,3,3,3
50,862,5,5,5,5,5
51,862,1,1,1,1,1
52,862,1,1,1,1,1
53,862,1,1,1,1,1
54,862,3,3,3,3,3
1,864,4,3,4,4,3
2,864,1,2,1,1,1
3,864,1,1,1,1,1
4,864,1,2,1,1,1
5,864,1,1,1,1,1
6,864,5,5,4,2,4
7,864,1,1,1,1,1
8,864,5,5,5,5,5
9,864,5,4,5,5,5
10,864,5,5,5,5,5
11,864,2,2,3,2,2
12,864,2,1,3,1,1
13,864,5,4,5,4,4
14,864,4,5,5,4,4
15,864,3,4,3,3,3
16,864,5,5,5,3,4
17,864,4,3,3,4,2
18,864,3,4,3,3,3
19,864,3,3,4,2,3
